"Choose Report","Choose Report"
"Select report","Select report"
"Show Report","Show Report"
"Show Params","Show Params"
"Show Values","Show Values"
"Chart","Chart"
"Filter","Filter"
"Go to previous page","Go to previous page"
"Go to next page","Go to next page"
"All","All"
"of","of"
"View","View"
"per page","per page"
"Total","Total"
"records found","records found"
"Export","Export"
"Reset Filter","Reset Filter"
"Search","Search"
"Export to","Export to"
"From","From"
"To","To"
"true","true"
"false","false"
"Total of","Total of"
"Rows","Rows"
"Message","Message"
"You don't have permission to view this report","You don't have permission to view this report"
"No report loaded","No report loaded"
"No records found","No records found"
"Select combo values","Select combo values"
"Page","Page"
"Pages","Pages"
"Sql2Report admin","Sql2Report admin"
"REPORTS","REPORTS"
"FILTERS","FILTERS"
"GROUP","GROUP"
"LINK","LINK"
"SYSTEM","SYSTEM"
"EXPORT/IMPORT","EXPORT/IMPORT"
"Reports manager","Reports manager"
"Add report","Add report"
"Filters manager","Filters manager"
"Add filter","Add filter"
"Group manager","Group manager"
"Link manager","Link manager"
"Admin","Admin"
"Permissions","Permissions"
"Export","Export"
"Import","Import"
"Market","Market"
"Manage Report","Manage Report"
"Report list","Report list"
"GROUPS","GROUPS"
"REPORT","REPORT"
"Back","Back"
"View","View"
"Delete","Delete"
"Duplicate","Duplicate"
"Save","Save"
"General information","General information"
"Code","Code"
"Must be unique","Must be unique"
"Title","Title"
"Group","Group"
"Description","Description"
"Filters","Filters"
"CODE","CODE"
"PARAMETER","PARAMETER"
"TITLE","TITLE"
"TYPE","TYPE"
"Remove filter","Remove filter"
"ACTIONS","ACTIONS"
"X value","X value"
"Column number","Column number"
"Y value","Y value"
"Links","Links"
"Row link","Row link"
"ID","ID"
"DESCRIPTION","DESCRIPTION"
"URL","URL"
"Unselect","Unselect"
"Id","Id"
"Url","Url"
"Column links","Column links"
"COLUMN","COLUMN"
"Group columns","Group columns"
"Add group","Add group"
"COLUMNS","COLUMNS"
"NAME","NAME"
"Export format","Export format"
"By default","By default"
"Customized","Customized"
"Excel header","Excel header"
"Excel Odd Row","Excel Odd Row"
"Excel Even Row","Excel Even Row"
"PDF Logo","PDF Logo"
"Width","Width"
"Height","Height"
"PDF Title","PDF Title"
"PDF Description","PDF Description"
"PDF Filters","PDF Filters"
"Left space","Left space"
"Show Filters","Show Filters"
"Yes","Yes"
"No","No"
"PDF Table Header","PDF Table Header"
"PDF Table Data","PDF Table Data"
"Odd","Odd"
"Even","Even"
"PDF Table Footer","PDF Table Footer"
"Show Footer","Show Footer"
"PDF Footer","PDF Footer"
"Scheduled Email Reports","Scheduled Email Reports"
"Active","Active"
"When","When"
"Minute","Minute"
"Hour","Hour"
"Day of Month","Day of Month"
"Month","Month"
"Day of Week","Day of Week"
"Every Minute","Every Minute"
"Every n minutes","Every n minutes"
"Each Selected Minute","Each Selected Minute"
"Every 1 minutes","Every 1 minutes"
"Every Hour","Every Hour"
"Every n Hours","Every n Hours"
"Each Selected Hour","Each Selected Hour"
"Every 1 hours","Every 1 hours"
"Every Day","Every Day"
"Each Day","Each Day"
"Each selected Day","Each selected Day"
"Every Month","Every Month"
"Each Month","Each Month"
"Each selected month","Each selected month"
"Every Week","Every Week"
"Each Week","Each Week"
"Each selected Day","Each selected Day"
"Filter's value","Filter's value"
"Email","Email"
"Subject","Subject"
"CC","CC"
"To Email","To Email"
"BCC","BCC"
"Attach file","Attach file"
"No attach","No attach"
"Offset","Offset"
"No rows send","No rows send"
"Ative if you don't want the email to be send if report don't return rows","Ative if you don't want the email to be send if report don't return rows"
"Email per row","Email per row"
"Ative if you want send an email for each result row, you can use the parameters :CXC where X is the number of the column.","Ative if you want send an email for each result row, you can use the parameters :CXC where X is the number of the column."
"Content","Content"
"Show / Hide Editor","Show / Hide Editor"
"Add results table","Add results table"
"File generated","File generated"
